Scenario,Period,Variable,% Change
Zero Enforcement,10,Outsourcing Intensity,-2.85
Zero Enforcement,20,Outsourcing Intensity,-2.85
Zero Enforcement,10,Informal Wage,4.68
Zero Enforcement,20,Informal Wage,4.68
Zero Enforcement,10,Informal Employment,-4.3
Zero Enforcement,20,Informal Employment,-7.89
Double Enforcement,10,Outsourcing Intensity,2.43
Double Enforcement,20,Outsourcing Intensity,2.43
Double Enforcement,10,Informal Wage,-3.01
Double Enforcement,20,Informal Wage,-3.01
Double Enforcement,10,Informal Employment,4.32
Double Enforcement,20,Informal Employment,7.95
Wage Floor,10,Outsourcing Intensity,0.26
Wage Floor,20,Outsourcing Intensity,0.26
Wage Floor,10,Informal Wage,6.39
Wage Floor,20,Informal Wage,6.39
Wage Floor,10,Informal Employment,0
Wage Floor,20,Informal Employment,0
Combined,10,Outsourcing Intensity,2.12
Combined,20,Outsourcing Intensity,2.12
Combined,10,Informal Wage,2.41
Combined,20,Informal Wage,2.41
Combined,10,Informal Employment,4.34
Combined,20,Informal Employment,7.97
